#node1	node2
B4GALT1	FUT4
B4GALT1	FPR1
VCAM1	ITGB7
VCAM1	GBP1
VCAM1	VEGFA
HSP90AB1	NRP1
HSP90AB1	CAV1
HSP90AB1	CAV3
HSP90AB1	PLXNA2
HSP90AB1	AR
HSP90AB1	HSPA1A
HSP90AB1	PLXNA1
HSP90AB1	ESR1
PEBP1	AGTRAP
PDIA6	CST3
CALR	MSR1
CAVIN1	CAV1
CAVIN1	CAV3
TPM1	MYLK
TPM1	DMD
TPM2	MYLK
TPM2	DMD
KRT77	KRT19
KRT5	KRT19
GDI2	RIN1
GDI2	RHOJ
GDI2	RHOU
GDI2	CPPED1
GDI2	RAB31
YWHAG	ITGB4
YWHAG	AJUBA
P4HB	IL12A
P4HB	CST3
EEF1A1	ZBTB16
EEF1A1	DOCK4
PRSS23	CST3
LAMA4	ITGA3
LAMA4	ITGB4
LAMA4	MCAM
LAMA4	NTN4
LAMA4	DMD
KRT6C	KRT19
INHBA	ACVR2A
INHBA	SMAD3
INHBA	ACVRL1
CTSB	CST3
ENPP2	LPAR1
KRT6A	KRT19
CFD	TGFB3
CFD	EGF
CFD	VEGFA
CTSA	CPPED1
KRT14	KRT19
FLNC	ITGB7
TIMP2	MMP15
TIMP2	MMP7
TIMP2	CST3
TIMP2	DBNL
KRT13	KRT19
YWHAH	ITGB4
YWHAH	IGF1R
EEF1D	ABTB1
SEMA7A	NRP1
SEMA7A	PLXNB1
SEMA7A	PLXNA1
KRT6B	KRT19
NME2	ESR1
PSAP	BDKRB1
PSAP	STOM
PSAP	S1PR1
PSAP	ADCY4
PSAP	HTR1F
PSAP	TAS1R1
PSAP	NPY2R
PSAP	SSTR2
PSAP	ADORA1
PSAP	GNAI3
PSAP	LPAR1
PSAP	S1PR3
PSAP	AGTR1
PSAP	BDKRB2
PSAP	FPR1
CDH2	CDH1
CDH2	EGF
CDH2	CDH11
CDH2	NOTCH1
CDH2	CDON
CDH2	CST3
CDH2	PIK3R1
TUBA1C	ESR1
HEXB	CPPED1
EEF2	DOCK4
CDH11	CDH1
TPM3	MYLK
TPM3	DMD
DPYSL3	NRP1
DPYSL3	PLXNA2
DPYSL3	PLXNA1
DPYSL3	CDK5
PYGB	PHKA1
PYGB	CPPED1
PRDX1	AR
PRDX1	CDK5
CALU	CST3
IGFBP3	IGF1R
IGFBP3	CST3
ALCAM	NT5E
RCN1	CST3
HSPA2	AR
HSPA2	HSPA1A
ARSA	CPPED1
TUBB	AJUBA
