#node1	node2
MYLK	ACTG1
MYLK	MYH3
MYLK	NEB
MYLK	SMTN
PODXL	ACTN4
PODXL	SPAG9
PODXL	LRP2
PODXL	IQGAP1
PODXL	ALB
PODXL	ANXA2
PODXL	FN1
PODXL	MSN
PODXL	EZR
PODXL	CTTN
PODXL	CDC42
PODXL	RDX
PODXL	FAT1
PODXL	PALLD
PODXL	CNTN1
GPR68	KNG1
GPR68	APP
GPR68	F2
GPR68	AGT
GPR68	GNG12
GPR68	ANXA1
GPR68	MAP3K4
GPR68	SAA1
GPR68	IL6
GPR68	FAM20A
GPR68	GNB1
CACNB4	PPP2CB
CACNB4	IQGAP1
CACNB4	ALCAM
CACNB4	PRKACA
CACNB4	PPP2R1A
CACNB4	PPP1CA
CACNB4	CBX3
CACNB4	CAMK2D
CACNB4	RAP1GDS1
CACNB4	CACNA2D4
CACNB4	HSPA2
CACNB4	PPP1CB
CACNB4	FKBP1A
CACNB4	SBNO1
CACNB4	PARK7
GAP43	NEFM
GAP43	GAPDH
GAP43	PRKAR2A
GAP43	THY1
GAP43	UCHL1
GAP43	APP
GAP43	CALM3
GAP43	ALB
GAP43	MAP1B
GAP43	DPYSL2
GAP43	CASP3
GAP43	BASP1
GAP43	SERPINF2
GAP43	RTN4
GAP43	PTN
GAP43	DPYSL3
GAP43	SPTAN1
GAP43	TH
GAP43	TTC3
GAP43	PPT1
GAP43	LSAMP
GAP43	MANF
GAP43	ENO2
GAP43	RABEP1
GAP43	CNTN1
GAP43	MARCKS
GREM1	SFRP1
GREM1	LOX
GREM1	INHBA
GREM1	YWHAH
GREM1	FST
GREM1	PDGFRA
GREM1	CHRDL2
GREM1	SFRP2
GREM1	FRZB
GREM1	COL3A1
GREM1	RGMB
GREM1	POLE
GREM1	FBN1
GREM1	NOG
GREM1	IDS
GREM1	TGFB2
GREM1	BMP5
GREM1	CHRDL1
GREM1	DKK1
GREM1	PPP1R12A
SSTR2	HEBP1
SSTR2	PYGB
SSTR2	C5
SSTR2	IL1RL1
SSTR2	C3
SSTR2	NDST1
SSTR2	KNG1
SSTR2	APP
SSTR2	PRL
SSTR2	IGF1
SSTR2	SNED1
SSTR2	GNAI2
SSTR2	PENK
SSTR2	AGT
SSTR2	VIP
SSTR2	FLNA
SSTR2	GNG12
SSTR2	ANXA1
SSTR2	PSAP
SSTR2	CXCL12
SSTR2	SAA1
SSTR2	ENO2
SSTR2	GNB1
MBP	MAPK1
MBP	NEFM
MBP	GAPDH
MBP	MAPK14
MBP	CTSD
MBP	PDGFRA
MBP	MMP7
MBP	GALC
MBP	PDGFRB
MBP	UCHL1
MBP	APP
MBP	CALM3
MBP	ALB
MBP	IGF1
MBP	CYCS
MBP	GLUL
MBP	PRKACA
MBP	CASP3
MBP	CSPG4
MBP	RTN4
MBP	NFASC
MBP	HNRNPA2B1
MBP	FN1
MBP	DYNC1H1
MBP	VIP
MBP	STK24
MBP	TH
MBP	IL6
MBP	PRMT1
MBP	PIEZO2
MBP	PGRMC2
MBP	ENO2
MBP	CNTN1
IL12A	PDGFRA
IL12A	PDGFRB
IL12A	LIFR
IL12A	OSMR
IL12A	TUBB6
IL12A	P4HB
IL12A	STAT1
IL12A	IL6R
IL12A	IL6
LDB2	CUX2
LDB2	RAB2A
LDB2	QDPR
LDB2	CHD8
LDB2	CA1
PDGFA	MMP2
PDGFA	TGFB1
PDGFA	SPARC
PDGFA	PDGFRA
PDGFA	PDGFRB
PDGFA	LIFR
PDGFA	OSMR
PDGFA	IGF1
PDGFA	MET
PDGFA	NQO1
PDGFA	PURA
PDGFA	FN1
PDGFA	ELN
PDGFA	TGFB2
PDGFA	IL6R
PDGFA	HSPG2
PDGFA	GRB2
PDGFA	PDGFD
PDGFA	IL6
PDGFA	IGF2
PDGFA	FGFR1
PDGFA	PDGFC
PDGFA	ANGPT1
PDGFA	VEGFC
VCAM1	VCL
VCAM1	MIF
VCAM1	MAPK1
VCAM1	HMOX1
VCAM1	PROCR
VCAM1	TIMP1
VCAM1	MMP2
VCAM1	TGFB1
VCAM1	SERPINE1
VCAM1	VTN
VCAM1	APOC3
VCAM1	GAPDH
VCAM1	MAPK14
VCAM1	LOX
VCAM1	SPARC
VCAM1	APOB
VCAM1	MMP8
VCAM1	APOA1
VCAM1	CAT
VCAM1	C3
VCAM1	APOE
VCAM1	LGALS3
VCAM1	NT5E
VCAM1	MMP7
VCAM1	THBS1
VCAM1	ITGAV
VCAM1	PDGFRB
VCAM1	TIMP2
VCAM1	EP300
VCAM1	KNG1
VCAM1	CDH11
VCAM1	CDH2
VCAM1	ITGA1
VCAM1	THY1
VCAM1	ITGA5
VCAM1	TNFSF12
VCAM1	CAPN2
VCAM1	ALB
VCAM1	PTX3
VCAM1	ANXA5
VCAM1	ANPEP
VCAM1	IGF1
VCAM1	COL3A1
VCAM1	MMP14
