#node1	node2
DNM3	ARPC1A
DNM3	ACTR3
DNM3	AP2S1
DNM3	LRP2
DNM3	RAB5A
DNM3	LY96
DNM3	AP2M1
DNM3	ARPC5
DNM3	ARPC2
DNM3	CD14
DNM3	CLTB
DNM3	SNX18
DNM3	AP1S1
DNM3	HIP1
DNM3	IGF2R
DNM3	AP1B1
DNM3	AP2A1
DNM3	TFRC
DNM3	CTTN
DNM3	STAM
DNM3	ACTR2
DNM3	PICALM
DNM3	AP1G1
DNM3	TF
DNM3	AGFG1
DNM3	ARPC4
DNM3	AP1M1
DNM3	NECAP2
DNM3	EPS15L1
DNM3	EPN1
DNM3	FNBP1
DNM3	HSPA8
DNM3	CLTCL1
DNM3	UBC
DNM3	AP1S2
DNM3	RAB5C
DNM3	LDLR
DNM3	CLTC
DNM3	AP2B1
CISH	RBX1
CISH	SKP1
CISH	NEDD8
CISH	UBE2M
CISH	COPS4
CISH	COPS3
CISH	DCUN1D1
CISH	COPS2
CISH	COPS6
CISH	COPS8
CISH	COPS5
CISH	NAE1
CISH	STAT1
CISH	GPS1
CISH	JAK3
CISH	COMMD2
CISH	COPS7A
CISH	CAND1
SYNJ2	VAMP3
SYNJ2	ARPC3
SYNJ2	APOB
SYNJ2	CLTA
SYNJ2	ARPC1A
SYNJ2	ACTR3
SYNJ2	AP2S1
SYNJ2	LRP2
SYNJ2	RAB5A
SYNJ2	AP2M1
SYNJ2	ARPC5
SYNJ2	ARPC2
SYNJ2	CLTB
SYNJ2	SNX18
SYNJ2	HIP1
SYNJ2	IGF2R
SYNJ2	AP2A1
SYNJ2	TFRC
SYNJ2	MINPP1
SYNJ2	CTTN
SYNJ2	STAM
SYNJ2	ACTR2
SYNJ2	INPP1
SYNJ2	PICALM
SYNJ2	PPP3CA
SYNJ2	PPP3CC
SYNJ2	TF
SYNJ2	AGFG1
SYNJ2	ARPC4
SYNJ2	NECAP2
SYNJ2	EPS15L1
SYNJ2	EPN1
SYNJ2	FNBP1
SYNJ2	HSPA8
SYNJ2	CLTCL1
SYNJ2	UBC
SYNJ2	RAB5C
SYNJ2	LDLR
SYNJ2	CLTC
SYNJ2	AP2B1
CASP1	DHX33
CASP1	PYCARD
CASP1	CASP3
CASP1	PTBP1
CASP1	RHOA
CASP1	EIF4G1
CASP1	EIF4G2
TGFB3	DCN
TGFB3	TGFBR3
TGFB3	TIMP1
TGFB3	TGFB1
TGFB3	SERPINE1
TGFB3	SPARC
TGFB3	SRGN
TGFB3	ISLR
TGFB3	ACTN4
TGFB3	THBS1
TGFB3	ITGAV
