#node1	node2
LMNA	CRYAB
LMNA	EHD1
COL6A3	ITGA3
COL6A3	ITGB4
COL6A3	ITGB8
COL6A3	ITGB7
COL6A3	CDH11
COL6A3	ITGA5
COL6A3	DMD
COL6A3	ADAM12
COL6A3	ITGA10
ENO1	SLC2A3
ENO1	ADH1A
ENO1	HSPB1
ENO1	GLUL
ENO1	CAV1
ENO1	TLR4
ENO1	HSPA1A
ENO1	RDX
ENO1	SLC2A14
ACTN1	ITGA3
ACTN1	TNS1
ACTN1	ITGB4
ACTN1	ITGB8
ACTN1	TGFB3
ACTN1	CDH1
ACTN1	EGF
ACTN1	ITGB7
ACTN1	TJP1
ACTN1	ITGA5
ACTN1	MICALL2
ACTN1	CTNNAL1
ACTN1	SORBS2
ACTN1	KIRREL
ACTN1	MYLK
ACTN1	ADAM12
ACTN1	ITGA10
ACTN1	CDK5
ACTN1	PIK3R1
ACTN1	LMO7
ACTN1	VEGFA
TPI1	SLC2A3
TPI1	ADH1A
TPI1	CDIPT
TPI1	HSPB1
TPI1	GLUL
TPI1	HSPA1A
ALDOA	SLC2A3
ALDOA	TGFB3
ALDOA	EGF
ALDOA	CST3
ALDOA	ESR1
ALDOA	DBNL
ALDOA	SLC2A14
ALDOA	VEGFA
LUM	TGFB3
LUM	LMBR1L
LUM	CDH11
IGFBP2	HSPB1
IGFBP2	EGF
IGFBP2	IGF1R
IGFBP2	ITGA5
IGFBP2	ESR1
IGFBP2	VEGFA
LDHA	SLC2A3
LDHA	ADH1A
LDHA	ADH1C
LDHA	SLC2A14
LDHA	VEGFA
COL12A1	CDH11
COL12A1	KIRREL
PTX3	PTGER2
PTX3	VCAM1
PTX3	F3
PTX3	TLR4
PTX3	CST3
PTX3	DBNL
PTX3	VEGFA
PKM	SLC2A3
PKM	CDIPT
PKM	HSPB1
PKM	CDH1
PKM	NOX4
PKM	EGF
PKM	IGF1R
PKM	ADCY4
PKM	FGFR2
PKM	SLC2A14
PKM	VEGFA
KRT9	CDH1
KRT9	KRT19
TIMP1	MMP15
TIMP1	HBEGF
TIMP1	TGFB3
TIMP1	MMP7
TIMP1	CDH1
TIMP1	EGF
TIMP1	EMP3
TIMP1	ITGA5
TIMP1	VCAM1
TIMP1	TNFRSF11B
TIMP1	IL16
TIMP1	ANGPT2
TIMP1	TNFRSF12A
TIMP1	SMAD3
TIMP1	F3
TIMP1	ADAM12
TIMP1	PLAU
TIMP1	TLR4
TIMP1	CST3
TIMP1	ESR1
TIMP1	ANGPT1
TIMP1	ITGAM
TIMP1	VEGFA
SPARC	TGFB3
SPARC	CDH1
SPARC	MCAM
SPARC	EGF
SPARC	CDH11
SPARC	ITGA5
SPARC	VCAM1
SPARC	TNFRSF11B
SPARC	PDGFA
SPARC	VEGFA
COL4A2	ITGA3
COL4A2	ITGB4
COL4A2	ITGB8
COL4A2	MSR1
COL4A2	ITGB7
COL4A2	ITGA5
COL4A2	KIRREL
COL4A2	ITGA10
COL4A2	IRS2
IGFBP7	IGF1R
IGFBP7	FLRT3
IGFBP7	CST3
IGFBP7	VEGFA
TNC	ITGA3
TNC	ITGB4
TNC	ITGB8
TNC	EGF
TNC	ITGB7
TNC	ITGA5
TNC	ITGA10
TNC	TLR4
TNC	CST3
KRT2	TGM1
KRT2	ITGB7
KRT2	KRT19
SERPINF1	ANGPT2
SERPINF1	BEST1
SERPINF1	ANGPT1
SERPINF1	VEGFA
VCL	TNS1
VCL	HSPB1
VCL	CDH1
VCL	ARVCF
VCL	EGF
VCL	TJP1
VCL	ITGA5
VCL	VCAM1
VCL	RHOJ
VCL	AGTRAP
VCL	TENC1
VCL	PKP3
VCL	NEXN
VCL	CAV1
VCL	SORBS2
VCL	AMPH
VCL	MYPN
VCL	MYLK
VCL	DMD
VCL	RHOU
VCL	AR
VCL	LIMA1
VCL	RDX
VCL	PIK3R1
VCL	LMO7
VCL	MARCKS
VCL	VEGFA
PFN1	CAP2
PFN1	FMN2
PFN1	DAAM1
COMP	ITGA3
COMP	ITGB4
COMP	ITGB8
COMP	TGFB3
COMP	ITGB7
COMP	ITGA5
COMP	TNFRSF11B
COMP	ITGA10
COMP	TEK
COMP	ANGPT1
SERPING1	TGFB3
SERPING1	EGF
SERPING1	F3
SERPING1	AHNAK
SERPING1	BDKRB2
SERPING1	VEGFA
SERPING1	P2RY6
ACTB	ITGA3
ACTB	ITGB4
ACTB	ITGB8
ACTB	CAP2
ACTB	HSPB1
ACTB	HIP1R
ACTB	NT5E
ACTB	CDH1
ACTB	SAMHD1
ACTB	EGF
ACTB	ITGB7
ACTB	IGF1R
ACTB	NOTCH1
ACTB	TJP1
ACTB	ITGA5
ACTB	TLR3
ACTB	INSR
ACTB	CTLA4
ACTB	BAIAP2
ACTB	SMAD3
ACTB	CAV1
ACTB	MYLK
ACTB	DMD
ACTB	KRT19
ACTB	ITGA10
ACTB	TLR4
ACTB	AR
ACTB	HSPA1A
ACTB	ITSN1
ACTB	DAAM1
ACTB	PPP1CB
ACTB	RDX
ACTB	ESR1
