INSR
PTPRF
FLOT
EGFR
FGFR1
FGFR2
TEK
TNFRSF1A
IL1R1
TGFBR1
CD14
FOS
SRF
BRAF
SOS
ERK
MYD88
TRAF6
MAP3K7
JUN
IRS1
PIK3CA
AKT
PDE3B
EIF4E
RAF1
HRAS
GRB2
INSR
